O/G Place,Bib,Name,Category,From,Status,Finish (Mile 100.0)
1/1,,Hal Koerner,"Male, 27",,Finished,19:51:11
2/2,,Karl Meltzer,"Male, 35",,Finished,20:20:11
3/3,,Leland Barker,"Male, 45",,Finished,21:45:11
4/4,,Ty Draney,"Male, 28",,Finished,22:45:06
5/5,,John Hallsten,"Male, 46",,Finished,23:44:43
6/6,,Michael Biddalph,"Male, 0",,Finished,24:44:34
7/7,,Paul Sweeney,"Male, 37",,Finished,25:50:56
7/1,,Betsy Nye,"Female, 38",,Finished,25:50:56
9/8,,Dean Tucker,"Male, 42",,Finished,25:52:32
10/9,,Phillip Lowry,"Male, 37",,Finished,26:33:16
11/10,,David Horton,"Male, 53",,Finished,26:35:25
12/11,,Roch Horton,"Male, 45",,Finished,26:55:14
13/12,,Kevin Budd,"Male, 27",,Finished,27:46:52
14/13,,Matt Culberson,"Male, 45",,Finished,28:09:00
15/14,,David Pease,"Male, 40",,Finished,28:10:10
16/15,,Gene Griffiths,"Male, 39",,Finished,28:26:16
17/2,,Mary Workman,"Female, 42",,Finished,28:30:34
18/16,,Tim Seminoff,"Male, 45",,Finished,28:54:32
19/17,,Dennis Aslett,"Male, 54",,Finished,29:26:38
20/18,,Rick Rochelle,"Male, 38",,Finished,29:35:37
21/19,,Duncan Orr,"Male, 52",,Finished,29:37:03
22/3,,Rickie Redland,"Female, 49",,Finished,29:51:16
23/4,,Diane Van Deren,"Female, 43",,Finished,30:04:38
24/20,,Brett Lehigh,"Male, 42",,Finished,30:18:05
25/21,,Elroy Whitworth,"Male, 51",,Finished,30:23:38
25/21,,Hans-Dieter Weisshaar,"Male, 63",,Finished,30:23:38
27/5,,Diane Ridgeway,"Female, 54",,Finished,30:43:33
28/23,,Devin Gardiner,"Male, 0",,Finished,30:52:48
29/6,,Annette Fortune,"Female, 35",,Finished,31:16:11
29/24,,David Fortune,"Male, 39",,Finished,31:16:11
31/7,,Peggy Davidson,"Female, 47",,Finished,31:24:28
32/25,,Ron Cunningham,"Male, 54",,Finished,31:24:29
33/26,,Mal Prior,"Male, 0",,Finished,31:24:50
34/27,,Martin Miller,"Male, 51",,Finished,31:35:59
35/28,,Rockford Cogar,"Male, 48",,Finished,31:59:10
36/29,,Errol Jones,"Male, 53",,Finished,32:17:58
37/30,,Jim Ballard,"Male, 53",,Finished,34:08:38
37/30,,Brent Craven,"Male, 53",,Finished,34:08:38
39/32,,Jack Meyer,"Male, 40",,Finished,34:14:02
39/32,,Bill Nictakis,"Male, 43",,Finished,34:14:02
41/34,,Dimitri Kieffer,"Male, 37",,Finished,34:39:57
42/35,,Peyton Robinson,"Male, 43",,Finished,34:51:30
